Skill Name,Repository,GitHub URL,Installs,Trust Score,Description
frontend-design,anthropics/skills,https://github.com/anthropics/skills,2600,8.5,UI/UX design patterns and best practices for frontend development
vercel-react-best-practices,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,1300,9.6,Best practices for React apps deployed on Vercel
skill-creator,anthropics/skills,https://github.com/anthropics/skills,1000,8.5,Tool for creating new reusable AI assistant skills
senior-frontend,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,992,8.9,Senior-level frontend engineering patterns and practices
pdf,anthropics/skills,https://github.com/anthropics/skills,936,8.5,PDF generation and manipulation capabilities
webapp-testing,anthropics/skills,https://github.com/anthropics/skills,709,8.5,Web application testing strategies and patterns
web-design-guidelines,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,679,9.6,Guidelines for web design and UI consistency
mcp-builder,anthropics/skills,https://github.com/anthropics/skills,646,8.5,Model Context Protocol (MCP) server builder
web-artifacts-builder,anthropics/skills,https://github.com/anthropics/skills,621,8.5,Build and manage web artifacts in AI workflows
gemini-api-dev,google-gemini/gemini-skills,https://github.com/google-gemini/gemini-skills,562,8.0,Google Gemini API development patterns
canvas-design,anthropics/skills,https://github.com/anthropics/skills,539,8.5,Canvas-based design and drawing capabilities
docx,anthropics/skills,https://github.com/anthropics/skills,508,8.5,Word document creation and manipulation
xlsx,anthropics/skills,https://github.com/anthropics/skills,496,8.5,Excel spreadsheet creation and manipulation
theme-factory,anthropics/skills,https://github.com/anthropics/skills,460,8.5,Design theme generation and management
pptx,anthropics/skills,https://github.com/anthropics/skills,448,8.5,PowerPoint presentation creation and manipulation
doc-coauthoring,anthropics/skills,https://github.com/anthropics/skills,424,8.5,Collaborative document authoring workflows
algorithmic-art,anthropics/skills,https://github.com/anthropics/skills,423,8.5,Generative and algorithmic art creation
brand-guidelines,anthropics/skills,https://github.com/anthropics/skills,395,8.5,Brand identity and design guideline enforcement
template-skill,anthropics/skills,https://github.com/anthropics/skills,386,8.5,Template for creating new skills
internal-comms,anthropics/skills,https://github.com/anthropics/skills,374,8.5,Internal communication tools and templates
slack-gif-creator,anthropics/skills,https://github.com/anthropics/skills,327,8.5,GIF creation for Slack communications
senior-fullstack,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,283,8.9,Senior-level full-stack development patterns
better-auth-best-practices,better-auth/skills,https://github.com/better-auth/skills,274,7.8,Authentication best practices using Better Auth
senior-backend,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,271,8.9,Senior-level backend engineering patterns
senior-architect,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,259,8.9,Senior-level software architecture patterns
code-reviewer,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,246,8.9,Automated code review and feedback
tailwind-design-system,wshobson/agents,https://github.com/wshobson/agents,244,9.5,Design system implementation with Tailwind CSS
cache-components,vercel/next.js,https://github.com/vercel/next.js,236,10.0,Component caching strategies for Next.js
agent-browser,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,231,9.6,Browser automation for AI agents
nextjs-app-router-patterns,wshobson/agents,https://github.com/wshobson/agents,224,9.5,Next.js App Router patterns and best practices
shadcn-ui,giuseppe-trisciuoglio/developer-kit,https://github.com/giuseppe-trisciuoglio/developer-kit,217,7.5,shadcn/ui component library integration
react-best-practices,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,217,10.0,React development best practices and patterns
react-state-management,wshobson/agents,https://github.com/wshobson/agents,159,9.5,State management patterns for React apps
react-native-architecture,wshobson/agents,https://github.com/wshobson/agents,158,9.5,Architecture patterns for React Native apps
vue,onmax/nuxt-skills,https://github.com/onmax/nuxt-skills,158,9.6,Vue.js development patterns and best practices
vercel-deploy,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,152,9.6,Deployment workflows and best practices for Vercel
senior-devops,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,146,8.9,Senior-level DevOps engineering practices
update-docs,vercel/next.js,https://github.com/vercel/next.js,134,10.0,Documentation update workflows for Next.js
typescript-advanced-types,wshobson/agents,https://github.com/wshobson/agents,128,9.5,Advanced TypeScript type patterns and utilities
senior-architect,sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,124,6.8,Senior-level software architecture patterns
code-review,agno-agi/agno,https://github.com/agno-agi/agno,123,9.5,Code review automation and best practices
remotion-best-practices,remotion-dev/skills,https://github.com/remotion-dev/skills,122,8.3,Best practices for Remotion video creation
postgresql-table-design,wshobson/agents,https://github.com/wshobson/agents,120,9.5,PostgreSQL database table design patterns
vercel-react-native-skills,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,119,9.6,React Native skills for Vercel deployments
ui-design-system,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,119,8.9,UI design system creation and management
supabase-nextjs,alinaqi/claude-bootstrap,https://github.com/alinaqi/claude-bootstrap,118,8.7,Supabase integration with Next.js
architecture-patterns,wshobson/agents,https://github.com/wshobson/agents,117,9.5,Software architecture patterns and principles
epic-react-best-practices,rubenpenap/epic-stack-agent-skills,https://github.com/rubenpenap/epic-stack-agent-skills,115,7.1,Epic Stack React best practices
dotnet-backend-patterns,wshobson/agents,https://github.com/wshobson/agents,114,9.5,.NET backend development patterns
create-auth-skill,better-auth/skills,https://github.com/better-auth/skills,110,7.8,Authentication skill creation with Better Auth
claude-automation-recommender,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,110,8.5,Claude automation recommendation engine
senior-security,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,110,8.9,Senior-level security engineering practices
react-native-design,wshobson/agents,https://github.com/wshobson/agents,108,9.5,Design patterns for React Native applications
vercel-composition-patterns,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,106,9.6,Component composition patterns for Vercel
frontend-patterns,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,106,9.4,General frontend development patterns
building-native-ui,expo/skills,https://github.com/expo/skills,105,10.0,Native UI component building for Expo
fastapi-templates,wshobson/agents,https://github.com/wshobson/agents,101,9.5,FastAPI backend templates and patterns
senior-data-engineer,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,101,8.9,Senior-level data engineering practices
expo-tailwind-setup,expo/skills,https://github.com/expo/skills,100,10.0,Tailwind CSS setup for Expo projects
